KHACHHANG_ID,NGAY,UP,DOWN,NGAY_THANHLY,THANHLY
1583,5/11/2023,0,6,5/31/2023,1
1583,5/12/2023,0,14,5/31/2023,1
1583,5/14/2023,0,2,5/31/2023,1
1583,5/15/2023,0,8,5/31/2023,1
1583,5/16/2023,0,16,5/31/2023,1
2170,12/31/2022,2,98,6/17/2023,1
2170,1/5/2023,0,12,6/17/2023,1
2170,1/7/2023,14,398,6/17/2023,1
2170,1/30/2023,0,16,6/17/2023,1
2170,1/31/2023,18,498,6/17/2023,1
2170,2/21/2023,4,134,6/17/2023,1
2170,2/28/2023,14,338,6/17/2023,1
2170,3/16/2023,8,162,6/17/2023,1
2170,3/24/2023,4,142,6/17/2023,1
2170,3/31/2023,10,310,6/17/2023,1
2170,4/12/2023,2,94,6/17/2023,1
2170,4/16/2023,0,18,6/17/2023,1
2170,4/17/2023,0,16,6/17/2023,1
2170,4/18/2023,2,70,6/17/2023,1
2170,4/21/2023,0,24,6/17/2023,1
2170,4/22/2023,0,12,6/17/2023,1
2170,4/23/2023,4,134,6/17/2023,1
2170,4/30/2023,20,518,6/17/2023,1
2170,5/24/2023,6,140,6/17/2023,1
2170,5/31/2023,12,288,6/17/2023,1
3855,12/31/2022,4,134,6/7/2023,1
3855,2/24/2023,0,0,6/7/2023,1
4860,12/31/2022,34,974,5/9/2023,1
4860,1/24/2023,14,256,5/9/2023,1
4860,1/31/2023,0,10,5/9/2023,1
4860,2/1/2023,2,70,5/9/2023,1
4860,2/2/2023,12,328,5/9/2023,1
4860,2/10/2023,10,216,5/9/2023,1
4860,2/15/2023,2,78,5/9/2023,1
4860,2/18/2023,8,116,5/9/2023,1
4860,2/21/2023,12,220,5/9/2023,1
5645,1/3/2023,0,4,5/31/2023,1
5645,1/4/2023,0,4,5/31/2023,1
5645,1/5/2023,0,4,5/31/2023,1
5645,1/6/2023,0,2,5/31/2023,1
5645,1/8/2023,0,0,5/31/2023,1
5645,1/9/2023,0,4,5/31/2023,1
5645,1/10/2023,0,2,5/31/2023,1
5645,1/11/2023,0,2,5/31/2023,1
5645,1/12/2023,0,1,5/31/2023,1
5645,1/13/2023,0,3,5/31/2023,1
5645,1/14/2023,0,1,5/31/2023,1
5645,1/16/2023,0,3,5/31/2023,1
5645,1/17/2023,0,6,5/31/2023,1
5645,1/18/2023,0,5,5/31/2023,1
